Postal Code,Place Name,State,County,Latitude,Longitude
1545,Hvitsten,Akershus,Vestby,59.5983,10.6569
1550,Hølen,Akershus,Vestby,59.5397,10.7397
1555,Son,Akershus,Vestby,59.5231,10.6892
1556,Son,Akershus,Vestby,59.5231,10.6892
1400,Ski,Akershus,Ski,59.7195,10.8358
1401,Ski,Akershus,Ski,59.7195,10.8358
1402,Ski,Akershus,Ski,59.7195,10.8358
1403,Langhus,Akershus,Ski,59.7089,10.8586
1404,Siggerud,Akershus,Ski,59.7912,10.8813
1405,Langhus,Akershus,Ski,59.7089,10.8586
1406,Ski,Akershus,Ski,59.7195,10.8358
1408,Kråkstad,Akershus,Ski,59.7089,10.8586
1409,Skotbu,Akershus,Ski,59.6667,10.95
1407,Vinterbro,Akershus,Ås,59.7395,10.7709
1429,Vinterbro,Akershus,Ås,59.7397,10.7711
1430,Ås,Akershus,Ås,59.6647,10.7946
1431,Ås,Akershus,Ås,59.6647,10.7946
1432,Ås,Akershus,Ås,59.6647,10.7946
1440,Drøbak,Akershus,Frogn,59.6633,10.6298
1441,Drøbak,Akershus,Frogn,59.6633,10.6298
1442,Drøbak,Akershus,Frogn,59.6633,10.6298
1443,Oscarsborg,Akershus,Frogn,59.6633,10.6298
1445,Heer,Akershus,Frogn,59.6633,10.6298
1455,Nordre Frogn,Akershus,Frogn,59.7364,10.7154
1450,Nesoddtangen,Akershus,Nesodden,59.8655,10.6594
1451,Nesoddtangen,Akershus,Nesodden,59.8655,10.6594
1453,Bjørnemyr,Akershus,Nesodden,59.7992,10.6231
1454,Fagerstrand,Akershus,Nesodden,59.7347,10.5931
1457,Fagerstrand,Akershus,Nesodden,59.7347,10.5931
1458,Fjellstrand,Akershus,Nesodden,59.7953,10.6106
1410,Kolbotn,Akershus,Oppegård,59.8106,10.8039
1411,Kolbotn,Akershus,Oppegård,59.8106,10.8039
1412,Sofiemyr,Akershus,Oppegård,59.7921,10.7727
1413,Tårnåsen,Akershus,Oppegård,59.819,10.8152
1414,Trollåsen,Akershus,Oppegård,59.7921,10.7727
1415,Oppegård,Akershus,Oppegård,59.7671,10.8111
1416,Oppegård,Akershus,Oppegård,59.774,10.8032
1417,Sofiemyr,Akershus,Oppegård,59.7921,10.7727
1419,Oppegård,Akershus,Oppegård,59.774,10.8032
1420,Svartskog,Akershus,Oppegård,59.7789,10.7344
1421,Trollåsen,Akershus,Oppegård,59.8173,10.7775
1300,Sandvika,Akershus,Bærum,59.8907,10.5277
1301,Sandvika,Akershus,Bærum,59.8907,10.5277
1302,Sandvika,Akershus,Bærum,59.8907,10.5277
1303,Sandvika,Akershus,Bærum,59.8907,10.5277
1304,Sandvika,Akershus,Bærum,59.8907,10.5277
1305,Haslum,Akershus,Bærum,59.9176,10.5609
1306,Bærum Postterminal,Akershus,Bærum,59.9006,10.6148
1309,Rud,Akershus,Bærum,59.9066,10.498
1311,Høvikodden,Akershus,Bærum,59.8886,10.5534
1312,Slependen,Akershus,Bærum,59.8783,10.5047
1313,Vøyenenga,Akershus,Bærum,59.9081,10.4774
1314,Vøyenenga,Akershus,Bærum,59.9084,10.4761
1316,Eiksmarka,Akershus,Bærum,59.9572,10.6079
1317,Bærums Verk,Akershus,Bærum,59.9468,10.5034
1318,Bekkestua,Akershus,Bærum,59.952,10.5557
1319,Bekkestua,Akershus,Bærum,59.952,10.5557
1321,Stabekk,Akershus,Bærum,59.9075,10.6056
1322,Høvik,Akershus,Bærum,59.9,10.5833
1323,Høvik,Akershus,Bærum,59.9,10.5833
1324,Lysaker,Akershus,Bærum,59.9099,10.6355
1325,Lysaker,Akershus,Bærum,59.9099,10.6355
1326,Lysaker,Akershus,Bærum,59.9099,10.6355
1327,Lysaker,Akershus,Bærum,59.9099,10.6355
1328,Høvik,Akershus,Bærum,59.9,10.5833
1329,Lommedalen,Akershus,Bærum,59.9556,10.4805
1330,Fornebu,Akershus,Bærum,59.9022,10.6292
1331,Fornebu,Akershus,Bærum,59.9022,10.6292
1332,Østerås,Akershus,Bærum,59.9437,10.6074
1333,Kolsås,Akershus,Bærum,59.9167,10.5167
1334,Rykkinn,Akershus,Bærum,59.9242,10.4859
1335,Snarøya,Akershus,Bærum,59.8819,10.6107
1336,Sandvika,Akershus,Bærum,59.8907,10.5277
1337,Sandvika,Akershus,Bærum,59.8907,10.5277
1338,Sandvika,Akershus,Bærum,59.8907,10.5277
1339,Vøyenenga,Akershus,Bærum,59.9082,10.4762
1340,Skui,Akershus,Bærum,59.9275,10.4475
1341,Slependen,Akershus,Bærum,59.8853,10.5029
1342,Gjettum,Akershus,Bærum,59.9087,10.5338
1344,Haslum,Akershus,Bærum,59.915,10.5607
1346,Gjettum,Akershus,Bærum,59.906,10.5215
1348,Rykkinn,Akershus,Bærum,59.9275,10.4475
1349,Rykkinn,Akershus,Bærum,59.9275,10.4475
1350,Lommedalen,Akershus,Bærum,59.9556,10.4805
1351,Rud,Akershus,Bærum,59.9084,10.4932
1352,Kolsås,Akershus,Bærum,59.9167,10.5167
1353,Bærums Verk,Akershus,Bærum,59.9468,10.5034
1354,Bærums Verk,Akershus,Bærum,59.9468,10.5034
1356,Bekkestua,Akershus,Bærum,59.9185,10.5787
1357,Bekkestua,Akershus,Bærum,59.9185,10.5872
1358,Jar,Akershus,Bærum,59.9167,10.6167
1359,Eiksmarka,Akershus,Bærum,59.9572,10.6079
1360,Fornebu,Akershus,Bærum,59.9022,10.6292
1361,Østerås,Akershus,Bærum,59.9049,10.6147
1362,Hosle,Akershus,Bærum,59.9049,10.6147
1363,Høvik,Akershus,Bærum,59.9,10.5833
1364,Fornebu,Akershus,Bærum,59.9022,10.6292
1365,Blommenholm,Akershus,Bærum,59.8971,10.5549
1366,Lysaker,Akershus,Bærum,59.9099,10.6355
1367,Snarøya,Akershus,Bærum,59.9049,10.6147
1368,Stabekk,Akershus,Bærum,59.9075,10.6056
1369,Stabekk,Akershus,Bærum,59.9075,10.6056
1371,Asker,Akershus,Asker,59.8333,10.4372
1372,Asker,Akershus,Asker,59.8333,10.4372
1373,Asker,Akershus,Asker,59.8333,10.4372
1375,Billingstad,Akershus,Asker,59.8481,10.4589
1376,Billingstad,Akershus,Asker,59.8481,10.4589
1377,Billingstad,Akershus,Asker,59.8481,10.4589
1378,Nesbru,Akershus,Asker,59.8703,10.4914
1379,Nesbru,Akershus,Asker,59.8703,10.4914
1380,Heggedal,Akershus,Asker,59.7842,10.4419
1381,Vettre,Akershus,Asker,59.815,10.4673
1383,Asker,Akershus,Asker,59.8333,10.4372
1384,Asker,Akershus,Asker,59.8333,10.4372
1385,Asker,Akershus,Asker,59.8203,10.3814
1386,Asker,Akershus,Asker,59.8333,10.4372
1387,Asker,Akershus,Asker,59.8333,10.4372
1388,Borgen,Akershus,Asker,59.8263,10.42
1389,Heggedal,Akershus,Asker,59.7842,10.4419
1390,Vollen,Akershus,Asker,59.8077,10.4849
1391,Vollen,Akershus,Asker,59.8077,10.4849
1392,Vettre,Akershus,Asker,59.8305,10.4749
1393,Vollen,Akershus,Asker,59.8077,10.4849
1394,Nesbru,Akershus,Asker,59.8703,10.4914
